date,description,Source_Name,bias,source,link,Image_link,main_headline,text,text_len
2023-03-09T08:06:49-08:00,"For more than two years, while they controlled every lever of power in Washington, the Democratic Party and their media allies told a one-sided story about what happened at the Capitol on Jan. 6, 2021. For more than two years, the surveillance footage from the 2021 Capitol riot, aired this week by Tucker Carlson, was kept from the American public by a Democratic Congress so a",OPINION: Trump’s risky call for protests,Left,https://www.allsides.com/news/2023-03-09-0806/criminal-justice-egregious-denial-due-process-jan-6-protesters,nypost,https://www.allsides.com/sites/default/files/NYPICHPDPICT000007837716-e1678330113440.jpg,An egregious denial of due process for Jan. 6 protesters,"OPINION
For more than two years, while they controlled every lever of power in Washington, the Democratic Party and their media allies told a one-sided story about what happened at the Capitol on Jan. 6, 2021.
For more than two years, the surveillance footage from the 2021 Capitol riot, aired this week by Tucker Carlson, was kept from the American public by a Democratic Congress so a false narrative became cemented in the public consciousness.
For more than two years, footage that could have exonerated Jan. 6 defendants was kept from...",542
2021-01-07T17:09:40-08:00,"Legislators on Wednesday questioned how protesters were able to gain access to the U.S. Capitol, saying the actions by U.S. Capitol Police officers would be examined. “I think it’s pretty clear that there’s going to be a number of people who are going to be without employment very, very soon because this is an embarrassment,” Rep. Tim Ryan (D-Ohio), chairman of the House",OPINION: Trump’s risky call for protests,Left,https://www.allsides.com/news/2021-01-07-0600/capitol-police-face-criticism-after-protesters-breach-building,theepochtimes,https://www.allsides.com/sites/default/files/takes-positions-700x420.jpg,Capitol Police Face Criticism After Protesters Breach Building,"Legislators on Wednesday questioned how protesters were able to gain access to the U.S. Capitol, saying the actions by U.S. Capitol Police officers would be examined.
“I think it’s pretty clear that there’s going to be a number of people who are going to be without employment very, very soon because this is an embarrassment,” Rep. Tim Ryan (D-Ohio), chairman of the House Appropriations Subcommittee on the Legislative Branch, told reporters during a virtual press conference.
The breach happened because of “enormous strategic and planning failures by the Capitol Police,...",577
2023-03-08T16:38:19-08:00,"The widespread Republican criticism Tucker Carlson has received over his attempts to reframe the January 6 riot as mainly a &quot;peaceful&quot; protest shows the GOP is no longer hesitant to go against the influential Fox News host. During Monday night's episode of his Fox News show, Carlson played clips from themore than 41,000 hours of security footage handed to him by House Speaker",OPINION: Donald Trump has committed a lot of shady acts. This is the wrong one to indict him on.,Lean Left,https://www.allsides.com/news/2023-03-08-1638/media-industry-republicans-no-longer-fear-tucker-carlson,newsweek,https://www.allsides.com/sites/default/files/tucker-carlson-jan-6.jpg,Republicans No Longer Fear Tucker Carlson,"The widespread Republican criticism Tucker Carlson has received over his attempts to reframe the January 6 riot as mainly a ""peaceful"" protest shows the GOP is no longer hesitant to go against the influential Fox News host.
During Monday night's episode of his Fox News show, Carlson played clips from themore than 41,000 hours of security footage handed to him by House Speaker Kevin McCarthy to push the claim the attack was not as violent as claimed disproved the ""lies"" told by Democrats and the January 6 House Select Committee...",535
2023-03-09T08:02:44-08:00,"It has been self-evident for a long time to almost every astute observer of Tucker Carlson — his friends, his acquaintances in the journalism profession, even some viewers of his nightly Fox News Channel program — that he doesn’t believe half of the things he says on his show. That obvious truth can now be enjoyed more widely, including by fans of his show, which happens to be",Trump Indictment Could Be a 2024 Cash Cow,Center,https://www.allsides.com/news/2023-03-09-0802/media-industry-tucker-carlson-schtick-melts-away,politico,https://www.allsides.com/sites/default/files/trumptucker.jpg,The Tucker Carlson Schtick Melts Away,"OPINION
It has been self-evident for a long time to almost every astute observer of Tucker Carlson — his friends, his acquaintances in the journalism profession, even some viewers of his nightly Fox News Channel program — that he doesn’t believe half of the things he says on his show. That obvious truth can now be enjoyed more widely, including by fans of his show, which happens to be the most popular single attraction in cableland, thanks to new filings released from the $1.6 billion defamation lawsuit Dominion Voting Systems has...",539
2020-10-16T17:11:03-07:00,"Several members within President Donald Trump's orbit have tested positive for coronavirus since Friday, including the president himself. The diagnoses have sent shockwaves around the country along with the message that the pandemic is far from over. With the latest being former New Jersey Governor Chris Christie, 14 people in the president's orbit have reported positive",Police surround NY Courthouse and DC Capitol in case of Trump arrest,Center,https://www.allsides.com/news/2020-10-03-2036/trumps-orbit-now-has-more-new-covid-cases-numerous-countries,newsweek,https://www.allsides.com/sites/default/files/allsides-logo-open-graph.png,Trump's Orbit Now Has More New COVID Cases Than Numerous Countries,"Several members within President Donald Trump's orbit have tested positive for coronavirus since Friday, including the president himself. The diagnoses have sent shockwaves around the country along with the message that the pandemic is far from over.
With the latest being former New Jersey Governor Chris Christie, 14 people in the president's orbit have reported positive diagnoses since Friday—more than the number of newly reported cases in the last 24 hours in Belgium, New Zealand, Singapore, Sweden, Taiwan, Thailand or Vietnam, according to the World Health Organization (WHO).
In addition...",600
2022-01-04T08:19:44-08:00,"Alengthy New York Times editorial over the weekend has set the stage for this week’s Jan. 6 anniversary coverage. “Every Day Is Jan. 6 Now,” declare the Times editors, warning that Republican lawmakers in 41 states “have been trying to advance the goals of the Jan. 6 rioters — not by breaking laws but by making them.” The argument itself, that tweaking state election law is",ANALYSIS: A Cynical and Political Looming Prosecution,Right,https://www.allsides.com/news/2022-01-04-0819/corporate-media-s-jan-6-anniversary-coverage-all-about-silencing-republicans,thefederalist,https://www.allsides.com/sites/default/files/Jan-6-riot-1200x675.jpeg,Corporate Media’s Jan. 6 Anniversary Coverage Is All About Silencing Republicans,"OPINION
Alengthy New York Times editorial over the weekend has set the stage for this week’s Jan. 6 anniversary coverage. “Every Day Is Jan. 6 Now,” declare the Times editors, warning that Republican lawmakers in 41 states “have been trying to advance the goals of the Jan. 6 rioters — not by breaking laws but by making them.”
The argument itself, that tweaking state election law is somehow a subversion of democracy, is absurd and incredibly lazy. But it’s important to note, if only because it will serve as the baseline narrative for...",541
2022-08-16T10:11:46-07:00,"filter team,",OPINION: The sudden turn of events that could derail Trump's indictment,Right,https://www.allsides.com/news/2022-08-16-1011/trump-passports-taken-fbi-search-mar-lago-returned-former-president,cbsnews,https://www.allsides.com/sites/default/files/allsides-logo-open-graph.png,Trump passports taken in FBI search of Mar-a-Lago returned to former president,"Passports belonging to former President Donald Trump that were taken by the FBI during the search conducted at his South Florida residence last week have been returned to the former president, a law enforcement source confirmed to CBS News.
The source said the passports were given back to Trump after they were discovered by a ""filter team,"" a group of federal investigators who screen the materials seized during the execution of a search warrant for privileged or extraneous information.
The FBI said in a statement that when executing search warrants, the bureau...",569
2022-08-10T14:01:06-07:00,"Republicans are up in arms over the FBI's raid of President Trump's home, and they're pressuring the Department of Justice to explain the reasons for the search. They're also calling for investigations into the FBI and the DOJ.   The FBI's unprecedented targeting of a former president by his successor's administration is fueling speculation about the 2024 presidential race.",OPINION: Trump’s risky call for protests,Left,https://www.allsides.com/news/2022-08-10-0831/coordinated-attack-democrats-trump-responds-fbi-raid-mar-lago-allies-urge-run,cbn,https://www.allsides.com/sites/default/files/allsides-logo-open-graph.png,"'Coordinated Attack by Democrats': Trump Responds to FBI Raid on Mar-a-Lago, Allies Urge Run in 2024","Republicans are up in arms over the FBI's raid of President Trump's home, and they're pressuring the Department of Justice to explain the reasons for the search. They're also calling for investigations into the FBI and the DOJ.
The FBI's unprecedented targeting of a former president by his successor's administration is fueling speculation about the 2024 presidential race. Republican leaders say it could lead Trump to announce his candidacy sooner, rather than later.
New details are emerging about the raid. At least 30 federal agents spent more...",552
2020-11-05T07:00:07-08:00,"Let’s be real. Goliath was never going to let David breeze through the rematch. The provinces, for whom President Trump is an instrument, not an end in himself, were never going to have an easy time winning the 2020 election against the amassed might of the Democratic Party, the “Fake News” media and allied pollsters, Big Tech, woke billionaires and the celebrity class, who",OPINION: Trump’s risky call for protests,Left,https://www.allsides.com/news/2020-11-05-0700/biden-may-steal-election-elitists-democrats-will-regret-it-devine,nypost,https://www.allsides.com/sites/default/files/BidenHarris.jpg,"Biden may steal an election for the elitists, but Democrats will regret it: Devine","OPINION
Let’s be real. Goliath was never going to let David breeze through the rematch.
The provinces, for whom President Trump is an instrument, not an end in himself, were never going to have an easy time winning the 2020 election against the amassed might of the Democratic Party, the “Fake News” media and allied pollsters, Big Tech, woke billionaires and the celebrity class, who united to stamp out the barbarian orange emperor.
The “chumps” and “ugly folk,” as Joe Biden calls them, came out in their glorious millions from the...",537
2023-03-09T08:04:37-08:00,"is not credible,",OPINION: Donald Trump has committed a lot of shady acts. This is the wrong one to indict him on.,Lean Left,https://www.allsides.com/news/2023-03-09-0804/media-industry-fox-news-tucker-carlson-not-credible-white-house-says-after-jan,reuters,https://www.allsides.com/sites/default/files/54OLX4MBOJJFHBC4S7FZSZ2YIM.jpg,"Fox News' Tucker Carlson is not credible, White House says after Jan. 6 coverage","The White House said on Wednesday that Fox News anchor Tucker Carlson ""is not credible,"" after the right-wing commentator showed footage from the Jan. 6, 2021, attacks on the U.S. Capitol that portrayed rioters as peaceful.
""We agree with the chief of the Capitol Police and the wide range of bipartisan lawmakers who have condemned this false depiction of the unprecedented, violent attack on our Constitution and the rule of law – which cost police officers their lives,"" White House spokesperson Andrew Bates said in a statement.
""We also agree...",550
